gid_nba,game_date,xid_possession,xid_chance,team_nba_off,team_nba_def,period,gameClock_start,gameClock_end,startType,outcome,score_margin,ptsScored_team,shot_fga,shot_fg,shot_fga3,shot_fg3,shot_qSP,shot_m_region,fouls_def,fouls_def_shooting,fta,fta_shooting,team_nba_winner
22100942,3/3/2022,75e14b78-da35-5e2d-894f-0df951c9cc8e,be331847-b186-51e9-b1c0-7f09615cce88,TOR,DET,4,5.14,0.74,FGORB,FGX3,-3,1,1,0,1,0,37.29689581,ATB,,,,,DET
22100546,1/2/2022,0adb7576-4b02-54b4-b1fd-fb61ce170917,5af1eead-b59a-50da-9db4-f49279608dda,ORL,BOS,5,5.88,2.6,SLOB,FGX3,-3,0,1,0,1,0,32.90533926,Corner,,,,,BOS
22100967,3/6/2022,dbaad245-b25e-5619-8ed1-b2f5733fd2c7,908d500a-c99f-5933-9afb-a4faceb9bb6b,DEN,NOP,4,17.9,14.76,FTDRB,FGM,-3,2,1,1,0,0,95.86562306,RA,,,,,DEN
22100920,2/28/2022,effd266f-503e-5847-b8b6-6803d71397e5,73609bfc-f353-5c5e-acb0-924bec1341d3,CLE,MIN,4,11.8,3.46,SLOB,FGX3,-3,0,1,0,1,0,23.77419448,ATB,,,,,MIN
22100578,1/6/2022,bad4d0b4-0fe3-5b64-b709-d76e514e731b,e8cf628b-b96e-5401-aea4-1d9a050bff8d,BOS,NYK,4,18.8,15.46,FTM,FOU_B,-3,2,,,,,,,1,0,2,0,NYK
22101127,3/28/2022,c7c33ae0-91cb-545b-9582-3ab2eb8acbb6,067dd7cf-dfad-5ee0-99af-38caf2d68c2b,BOS,TOR,5,8.3,2.78,FGORB,FGX3,-3,0,1,0,1,0,44.11509519,ATB,,,,,TOR
22100479,12/23/2021,100d4109-9f2e-5f09-987b-037df8fde4cc,66aa94d9-00ac-5aee-9cad-f0708f1dc481,DET,MIA,4,22.06,12.38,FGDRB,TMO,-3,0,,,,,,,,,,,MIA
22101034,3/16/2022,ef14a582-176b-5eaf-b2fe-721130fb8e82,023265f0-cb06-5790-8b53-c9dd3ace336e,CLE,PHI,4,16.8,15.46,SLOB,FOU_B,-3,2,,,,,,,1,0,2,0,PHI
22100854,2/12/2022,d9a43033-2e0a-5cb7-acd8-39aa9b7e3199,134ad026-56af-589c-bc6e-e842c1760980,LAL,GSW,4,7.3,2.48,SLOB,FOU_S,-3,1,0,0,0,0,,ATB,1,1,3,3,GSW
22100363,12/7/2021,73f48d49-96d1-56c6-8880-370c241ab2c1,b91efb6b-ba81-518f-8d8b-802ebaaa4a95,DAL,BKN,4,14.9,0,FGORB,FGX3,-3,0,1,0,1,0,49.64346744,ATB,,,,,BKN
22100887,2/17/2022,2c5323a0-3350-5e94-b3fe-01de32c60dbe,6dd4cc2c-172c-5538-9fab-b5cdcf03358f,MIL,PHI,4,13.4,8.48,SLOB,FGX3,-3,0,1,0,1,0,39.68444937,ATB,,,,,PHI
22100663,1/17/2022,558d9e0e-b50e-539d-b354-06b893ec47cc,bceb9e19-bc0d-5813-8245-e20974d784ee,OKC,DAL,4,20,18.02,SLOB,TO,-3,0,,,,,,,,,,,DAL
22100954,3/5/2022,7c5bf7aa-480c-54ed-a598-340be3b24103,8314a7da-462b-54fb-9a3a-66aea15fcc5e,SAC,DAL,4,3.3,0.56,SLOB,FGX3,-3,0,1,0,1,0,21.08261588,ATB,,,,,DAL
22100422,12/15/2021,334ef455-c2d5-534c-9d9b-d7f12209cf18,7316bafb-4317-5848-8906-a9f5f08e61ae,OKC,NOP,4,4.5,1.48,SLOB,FGM3,-3,3,,,,,,,,,,,NOP
22100448,12/19/2021,81c97141-b28a-5bb6-ae83-220651acc7aa,0d03e678-2235-59d1-8c9a-92ef371bdd50,LAL,CHI,4,8.82,3.9,FGORB,FGX3,-3,0,1,0,1,0,48.75354407,ATB,,,,,CHI
22100889,2/24/2022,64b17cf2-05fd-5400-806b-9770ca9f4aae,2f22d4d6-7af0-5103-b97f-569381e391c8,CLE,DET,4,12.96,1,FGORB,FGX3,-3,0,1,0,1,0,55.01255183,ATB,,,,,DET
22100569,1/5/2022,ae8f2d2d-6092-5eaf-a93f-99aceeaa0bb3,4eab3779-4876-55d1-ada9-3dbdac241dff,WAS,HOU,4,0.44,0,SLOB,FGX3,-3,0,1,0,1,0,41.26180225,Corner,,,,,HOU
22100241,11/20/2021,2cdc3cda-f4f0-5e9f-815e-4e523d24cfec,f524c505-44ee-5178-bb6a-2574f68e9f7c,MIA,WAS,4,12.44,0.94,SLOB,FGX3,-3,0,1,0,1,0,38.00927865,ATB,,,,,WAS
22100368,12/8/2021,d7576ce7-7c7d-57c6-a3a5-84e3390c25d9,18469f57-06ce-599b-bab9-62da8512ed61,DET,WAS,5,0.6,0,SLOB,FGX3,-3,0,,,,,,,,,,,WAS
22100078,10/30/2021,cbb1f9ea-9d5b-552d-86cb-16e2c1a78fc2,36f0c949-598b-50ea-80df-3b53cd18f005,BOS,WAS,6,20.6,17.02,SLOB,TO,-3,0,,,,,,,,,,,WAS
22101044,3/16/2022,55c12050-b89e-5f69-bd62-17e1b4e5f12e,816833a0-abf0-5f92-bb87-f193556aaad5,LAC,TOR,4,6.2,0.1,SLOB,FGX3,-3,0,1,0,1,0,39.83386304,ATB,,,,,TOR
